"driver","neighbour"
"ANK3","SPTBN1"
"ANK3","STX7"
"ANK3","TMOD4"
"ANK3","UTRN"
"ANKRD12","CFH"
"ANKRD17","CAPN1"
"ANKRD17","CNOT8"
"ANKRD17","FGF3"
"ANKRD17","FGF8"
"ANKRD17","FMR1"
"ANKRD17","GBF1"
"ANKRD17","HDAC2"
"ANKRD17","IRF9"
"ANKRD17","LARP4B"
"ANKRD17","MAP2K3"
"ANKRD17","MSH6"
"ANKRD17","PSPC1"
"ANKRD17","RBMS1"
"ANKRD17","RPL5"
"ANKRD17","S100A6"
"ANKRD17","SOX2"
"ANKRD17","VCAM1"
"ANKRD17","WWP2"
"ANKRD26","ANAPC2"
"ANKRD26","ARID1A"
"ANKRD26","BRCA1"
"ANKRD26","C11orf52"
"ANKRD26","CBX2"
"ANKRD26","EBAG9"
"ANKRD26","FGFR4"
"ANKRD26","GJA1"
"ANKRD26","GJD3"
"ANKRD26","KRT19"
"ANKRD26","LTK"
"ANKRD26","NDC80"
"ANKRD26","RAB9A"
"ANKRD26","YWHAH"
"ANKRD36","GAPDH"
"ANKRD50","KRAS"
"ANKRD50","RAB7A"
"ANKRD50","SMURF1"
"ANLN","ADAR"
"ANLN","AIMP2"
"ANLN","AKR1A1"
"ANLN","ALPP"
"ANLN","ARPC3"
"ANLN","ARPC4"
"ANLN","CD55"
"ANLN","CDC5L"
"ANLN","CHMP4B"
"ANLN","CPM"
"ANLN","DHX9"
"ANLN","DNAH11"
"ANLN","EIF3F"
"ANLN","ESYT2"
"ANLN","GNAI1"
"ANLN","GTF2I"
"ANLN","HACL1"
"ANLN","HEATR1"
"ANLN","HUWE1"
"ANLN","INTS7"
"ANLN","KIDINS220"
"ANLN","MDC1"
"ANLN","MED19"
"ANLN","MTHFD1L"
"ANLN","NKRF"
"ANLN","NOP10"
"ANLN","NUP93"
"ANLN","PABPC1L2A"
"ANLN","PARP1"
"ANLN","PHGDH"
"ANLN","PRKDC"
"ANLN","PTPMT1"
"ANLN","QPCTL"
"ANLN","RBM15"
"ANLN","RBM26"
"ANLN","RBM28"
"ANLN","RHOC"
"ANLN","RPL12"
"ANLN","RPL15"
"ANLN","RPL24"
"ANLN","RPL26L1"
"ANLN","RPL32"
"ANLN","RPL6"
"ANLN","RPL9"
"ANLN","RPS26P11"
"ANLN","RPS3A"
"ANLN","RRP15"
"ANLN","RRP1B"
"ANLN","SLC25A18"
"ANLN","SPDEF"
"ANLN","SPTB"
"ANLN","SRP14"
"ANLN","SUPT16H"
"ANLN","SYNE1"
"ANLN","TAF10"
"ANLN","WDR36"
"ANLN","YARS2"
"ANLN","YWHAG"
"ANPEP","MYC"
"ANPEP","OSTC"
"ANPEP","ROCK1"
"ANPEP","SEC61A1"
"AOX1","RBL1"
"AP1B1","AGR2"
"AP1B1","AGR3"
"AP1B1","AP1G2"
"AP1B1","AP1M2"
"AP1B1","AP1S3"
"AP1B1","AP3M1"
"AP1B1","AP4S1"
"AP1B1","ARF6"
"AP1B1","BUB1"
"AP1B1","BUB1B"
"AP1B1","CLDN4"
"AP1B1","CLVS2"
"AP1B1","COL17A1"
"AP1B1","CREBBP"
"AP1B1","DNM2"
"AP1B1","DPYSL2"
"AP1B1","DSP"
"AP1B1","ENTHD1"
"AP1B1","EP300"
"AP1B1","EPN2"
"AP1B1","EPN3"
"AP1B1","FCHO1"
"AP1B1","FOXA1"
"AP1B1","GTSE1"
"AP1B1","HIP1R"
"AP1B1","HYOU1"
"AP1B1","KIF13A"
"AP1B1","KIF20A"
"AP1B1","LAMP3"
"AP1B1","LSR"
"AP1B1","NECAP2"
"AP1B1","NR3C1"
"AP1B1","PIK3C2A"
"AP1B1","PRKDC"
"AP1B1","PSORS1C2"
"AP1B1","RAB38"
"AP1B1","RECQL4"
"AP1B1","RNF39"
"AP1B1","SIRT7"
"AP1B1","TBC1D2"
"AP1B1","TBC1D8B"
"AP1B1","TRMT61A"
"AP1B1","VAMP8"
"AP1B1","ZRANB1"
"AP2A1","DNAJC6"
"AP2A1","EPHB6"
"AP2A1","HBEGF"
"AP2A1","MAPK1"
"AP2A1","NTRK1"
"AP2A1","RC3H1"
"AP2A1","REPS1"
"AP2A1","SGIP1"
"AP2A1","SHBG"
"AP2A1","SLC18A3"
"AP2A1","STAM"
"AP2A1","TRIM25"
"APC","AURKA"
"APC","AXIN2"
"APC","CACYBP"
"APC","CASK"
"APC","CAV1"
"APC","CCNB1"
"APC","CD40"
"APC","CDC14B"
"APC","CDK4"
"APC","COPS5"
"APC","COQ3"
"APC","CTNNB1"
"APC","DCTN1"
"APC","DKK3"
"APC","DLG1"
"APC","ENTPD1"
"APC","EPB41L4A"
"APC","FZD1"
"APC","GNAS"
"APC","HSPA5"
"APC","ILK"
"APC","KRT38"
"APC","MACF1"
"APC","MAPK3"
"APC","MBD4"
"APC","MCC"
"APC","MYH11"
"APC","NEB"
"APC","NUP107"
"APC","POM121"
"APC","PPP1R13B"
"APC","PPP2CB"
"APC","PTK2"
"APC","PTPN13"
"APC","RB1CC1"
"APC","SASS6"
"APC","SLFN11"
"APC","SYNC"
"APC","SYNE1"
"APC","TAX1BP1"
"APC","TP53"
"APC","TRIM21"
"APC","TRIM36"
"APC","XPO1"
"APC","YWHAG"
"API5","CKB"
"API5","CTNNB1"
"APMAP","PTGFRN"
"APOB","ANLN"
"APOB","CANX"
"APOB","CCDC8"
"APOB","CRKL"
"APOB","GNG8"
"APOB","KIF20A"
"APOB","LRP8"
"APOB","NUDCD1"
"APOB","PHF11"
"APOB","PSMD14"
"APOB","RAD21"
"APOB","SAA2"
"APOB","SCAMP2"
"APOB","TRIM21"
"APOB","UCHL5"
"APOB","VAMP7"
"AR","ANLN"
"AR","ANO7"
"AR","ATAD2"
"AR","BRCA1"
"AR","CBX5"
"AR","CCNT1"
"AR","CMTM3"
"AR","CTDSP2"
"AR","DAXX"
"AR","DCAF7"
"AR","EIF4A1"
"AR","GRB2"
"AR","HMG20B"
"AR","JUND"
"AR","KLK4"
"AR","MAGED1"
"AR","MMP2"
"AR","NCOA2"
"AR","P2RY1"
"AR","PMEPA1"
"AR","PRKD1"
"AR","PRKDC"
"AR","RBL1"
"AR","RNF213"
"AR","RUNX2"
"AR","SKP2"
"AR","SMARCB1"
"AR","SMC1A"
"AR","SOCS6"
"AR","TH"
"AR","TP53"
"AR","TPM4"
"AR","TRIM28"
"ARAF","ANKRD55"
"ARAF","APBB1IP"
"ARAF","BECN1"
"ARAF","CLEC11A"
"ARAF","DHX9"
"ARAF","IPO7"
"ARAF","IRF3"
"ARAF","IRS4"
"ARAF","KRT5"
"ARAF","MRAS"
"ARAF","PRKAR1A"
"ARAF","PTGES3"
"ARAF","STK11"
"ARHGAP32","ACTG1"
"ARHGAP32","CBS"
"ARHGAP32","CDC42"
"ARHGAP32","CPEB4"
"ARHGAP32","FYN"
"ARHGAP32","GJA1"
"ARHGAP32","KRT19"
"ARHGAP32","OCLN"
"ARHGAP4","RALGAPA1"
"ARHGAP5","RHOG"
"ARHGEF10","CRK"
"ARHGEF10","DCTN2"
"ARHGEF10","FGFR1"
"ARHGEF10","GGH"
"ARHGEF10","STYK1"
"ARHGEF10","ZYX"
"ARHGEF10L","NOP58"
"ARHGEF10L","PSMC6"
"ARHGEF10L","SFXN1"
"ARHGEF11","TRIM25"
"ARHGEF12","DCTN2"
"ARHGEF12","NEO1"
"ARHGEF12","PLXNB1"
"ARHGEF12","TP63"
"ARHGEF18","AKAP13"
"ARHGEF18","ENAH"
"ARHGEF18","MKI67"
"ARHGEF18","VAPA"
"ARHGEF3","HSF2BP"
"ARHGEF6","CDC42"
"ARHGEF6","GNG4"
"ARHGEF6","NCK2"
"ARHGEF6","PRKCQ"
"ARHGEF6","RBM38"
"ARHGEF6","SIRPA"
"ARID1A","ADNP"
"ARID1A","ANKRD26"
"ARID1A","BAZ1B"
"ARID1A","BPTF"
"ARID1A","CDKN1A"
"ARID1A","CHAF1A"
"ARID1A","CREBBP"
"ARID1A","ETF1"
"ARID1A","MSH2"
"ARID1A","NUP160"
"ARID1A","PAX6"
"ARID1A","PHF5A"
"ARID1A","RBBP4"
"ARID1A","SKP1"
"ARID1A","SMARCB1"
"ARID1A","SMARCC2"
"ARID1A","SOX15"
"ARID1A","SS18L1"
"ARID1B","CAND1"
"ARID1B","CDKN1A"
"ARID1B","NFIA"
"ARID1B","NFIC"
"ARID1B","NUP35"
"ARID1B","PCGF1"
"ARID1B","RNF10"
"ARID1B","RPRD1B"
"ARID1B","SMAD3"
"ARID1B","SMARCC2"
"ARID2","ATR"
"ARID2","E2F3"
"ARID2","ELF4"
"ARID2","LRRFIP1"
"ARID2","MSRA"
"ARID2","SP7"
"ARID2","ZNF330"
"ARID5B","EGLN3"
"ARID5B","PBRM1"
"ARNT","AHRR"
"ARNT","ASF1A"
"ARNT","FEM1A"
"ARNT","FEV"
"ARNT","GNAS"
"ARNT","HK2"
"ARNT","JUP"
"ARNT","KPNA6"
"ARNT","MTA3"
"ARNT","NR1I3"
"ARNT","PTP4A3"
"ARNT","RAF1"
"ARNT","SMG7"
"ARNT","TIPARP"
"ARNT","TNFAIP1"
"ASAP2","MAP1LC3A"
"ASCC3","BAG2"
"ASCC3","DDX60"
"ASCC3","HCCS"
"ASCC3","LGR4"
"ASCC3","MLH3"
"ASCC3","WDR7"
"ASH1L","NUP43"
"ASH1L","OASL"
"ASPM","ACTC1"
"ASPM","CPPED1"
"ASPM","HSP90B1"
"ASPM","IARS2"
"ASPM","PSMA3"
"ASPM","TUBGCP5"
"ASTN2","ALDH3B1"
"ASTN2","CCT4"
"ASXL1","ANXA2"
"ASXL1","CAMK2D"
"ASXL1","EIF4E"
"ASXL1","NCOA1"
"ASXL1","PHC1"
"ASXL1","RLIM"
"ASXL1","USP11"
"ASXL1","VCP"
"ASXL1","XPO5"
"ASXL1","ZNF488"
"ASXL2","CACYBP"
"ASXL2","CBX4"
"ASXL2","CCT3"
"ASXL2","DDX1"
"ASXL2","FOXI1"
"ASXL2","GDI2"
"ASXL2","ILF2"
"ASXL2","KRT1"
"ASXL2","MBD6"
"ASXL2","PFDN2"
"ASXL2","PRPS1"
"ASXL2","RPS16"
"ASXL2","RPS18"
"ASXL2","RPS7"
"ASXL2","SNRPD1"
"ASXL2","STOML2"
"ASXL2","YY2"
"ASXL3","DNAJA2"
"ASXL3","EEF1A1"
"ASXL3","GLUL"
"ASXL3","GSTM2"
"ASXL3","NUDT21"
"ASXL3","SCML2"
"ASXL3","SF3B3"
"ASXL3","ZFP42"
"ATAD2","BIRC3"
"ATAD2","CBX3"
"ATAD2","FASN"
"ATAD2","IFI16"
"ATF7IP","A2M"
"ATF7IP","DISC1"
"ATF7IP","ELF4"
"ATF7IP","LAMC1"
"ATF7IP","MACF1"
"ATF7IP","PAPPA2"
"ATF7IP","PKD1"
"ATF7IP","RYBP"
"ATF7IP","STRN"
"ATF7IP","TRIM67"
"ATF7IP","TRIP12"
"ATG2A","CPEB2"
"ATM","ADNP"
"ATM","AFF4"
"ATM","AKAP9"
"ATM","ALMS1"
"ATM","AMIGO1"
"ATM","ANKRD26"
"ATM","ANXA1"
"ATM","AP3B1"
"ATM","ARFGEF2"
"ATM","ARHGEF12"
"ATM","ASCC3"
"ATM","ASXL2"
"ATM","ATE1"
"ATM","ATF7IP"
"ATM","ATRX"
"ATM","BARD1"
"ATM","BAZ1B"
"ATM","BAZ2A"
"ATM","BCL9"
"ATM","BCLAF1"
"ATM","BCORL1"
"ATM","BDP1"
"ATM","BHLHE41"
"ATM","BID"
"ATM","BPTF"
"ATM","BRWD3"
"ATM","BSG"
"ATM","BSN"
"ATM","BTBD8"
"ATM","CABIN1"
"ATM","CASP8AP2"
"ATM","CDK13"
"ATM","CDKN2D"
"ATM","CHD6"
"ATM","CHD8"
"ATM","CIZ1"
"ATM","CNOT4"
"ATM","COPS5"
"ATM","CPSF6"
"ATM","CREBBP"
"ATM","CYB5B"
"ATM","DAXX"
"ATM","DCLRE1C"
"ATM","DHX8"
"ATM","DHX9"
"ATM","DNAJB11"
"ATM","DYRK2"
"ATM","EFTUD2"
"ATM","EHMT1"
"ATM","EP300"
"ATM","EP400"
"ATM","EPS15"
"ATM","FAT1"
"ATM","FIGNL1"
"ATM","FNIP1"
"ATM","FOXJ2"
"ATM","FOXO3"
"ATM","FUBP3"
"ATM","GABARAPL2"
"ATM","GAPVD1"
"ATM","GCC1"
"ATM","GCGR"
"ATM","GNA11"
"ATM","GPATCH8"
"ATM","GTF2B"
"ATM","GTF2H5"
"ATM","HDAC1"
"ATM","HERC1"
"ATM","HIPK2"
"ATM","HSPA4L"
"ATM","HSPA9"
"ATM","HUWE1"
"ATM","IKBKB"
"ATM","INTS2"
"ATM","IRS1"
"ATM","KDM2A"
"ATM","KDM6A"
"ATM","KIF13B"
"ATM","KIF22"
"ATM","KPNA5"
"ATM","KPNB1"
"ATM","KRBA2"
"ATM","LARP1"
"ATM","LATS1"
"ATM","LIG3"
"ATM","LSM2"
"ATM","MAML2"
"ATM","MAP1LC3B"
"ATM","MAST4"
"ATM","MATN2"
"ATM","MCM7"
"ATM","MDC1"
"ATM","MED1"
"ATM","MED13L"
"ATM","MPG"
"ATM","MTMR3"
"ATM","NARF"
"ATM","NCAPD2"
"ATM","NCBP1"
"ATM","NCBP2"
"ATM","NCOA1"
"ATM","NCOA2"
"ATM","NIPBL"
"ATM","NOSIP"
"ATM","NOTCH1"
"ATM","NPAT"
"ATM","NSF"
"ATM","NSMCE4A"
"ATM","NUDT5"
"ATM","NUP107"
"ATM","PAFAH1B2"
"ATM","PAXIP1"
"ATM","PEX1"
"ATM","PEX5"
"ATM","PHAX"
"ATM","PHF3"
"ATM","PNN"
"ATM","POLDIP3"
"ATM","POLE4"
"ATM","POLR1A"
"ATM","PPFIA1"
"ATM","PPP1R2"
"ATM","PRPF8"
"ATM","PTCH1"
"ATM","PTPN14"
"ATM","PURB"
"ATM","PUS10"
"ATM","RAD50"
"ATM","RAD54L2"
"ATM","RALY"
"ATM","RAPGEF2"
"ATM","RAPGEF6"
"ATM","RBBP5"
"ATM","RBM14"
"ATM","RBM15"
"ATM","RBM34"
"ATM","RFC5"
"ATM","RIF1"
"ATM","RNF181"
"ATM","RNF20"
"ATM","RPA1"
"ATM","RPA2"
"ATM","RPRD2"
"ATM","RREB1"
"ATM","RSF1"
"ATM","SALL4"
"ATM","SEC16A"
"ATM","SETD2"
"ATM","SETDB1"
"ATM","SF3A1"
"ATM","SIRT7"
"ATM","SMC1A"
"ATM","SNRNP200"
"ATM","SOCS1"
"ATM","SP1"
"ATM","SPAG9"
"ATM","SPEN"
"ATM","SRRM2"
"ATM","TAF1"
"ATM","TAOK1"
"ATM","TAOK3"
"ATM","TBCB"
"ATM","TCF20"
"ATM","TERF2IP"
"ATM","TIMELESS"
"ATM","TMEM54"
"ATM","TOP3A"
"ATM","TPR"
"ATM","TPT1"
"ATM","TRAF6"
"ATM","TRIM33"
"ATM","TRIP12"
"ATM","TRRAP"
"ATM","TSSK4"
"ATM","UBAP2"
"ATM","UBE2N"
"ATM","UBE2V2"
"ATM","UBN2"
"ATM","UBR5"
"ATM","UBXN7"
"ATM","UCHL3"
"ATM","USP28"
"ATM","USP34"
"ATM","UTP15"
"ATM","WDHD1"
"ATM","WRN"
"ATM","XPC"
"ATM","XRCC2"
"ATM","ZBTB10"
"ATM","ZBTB2"
"ATM","ZBTB44"
"ATM","ZC3HAV1L"
"ATM","ZDHHC20"
"ATM","ZKSCAN1"
"ATM","ZNF24"
"ATM","ZNF281"
"ATM","ZNF292"
"ATM","ZNF318"
"ATM","ZNF397"
"ATM","ZNF420"
"ATM","ZNF462"
"ATM","ZNF592"
"ATM","ZSCAN22"
"ATP10A","ATP8B2"
"ATP10A","ATP8B4"
"ATP10B","ATP10A"
"ATP2A2","ADIPOR2"
"ATP2A2","BAP1"
"ATP2A2","CNR2"
"ATP2A2","ELP4"
"ATP2A2","HSD3B7"
"ATP2A2","JMJD4"
"ATP2A2","LARP7"
"ATP2A2","LGR4"
"ATP2A2","OPRD1"
"ATP2A2","RECQL4"
"ATP2A2","SLC25A1"
"ATP2A2","STAU1"
"ATP2A2","TAP1"
"ATP2B3","IFT27"
"ATP4A","GPM6A"
"ATP4A","KCNQ1"
"ATP4A","SYT1"
"ATP4A","VAT1"
"ATP8B2","SLC22A4"
"ATR","ARID4A"
"ATR","BAX"
"ATR","CCAR1"
"ATR","CCNA2"
"ATR","CCNB2"
